,Date,Season,Vụ nuôi,module_name,ao,Loại ao,Giai đoạn,Công nghệ nuôi,area,Giống tôm,Ngày thả,Tuổi tôm,Time,Mực nước,Nhiệt độ,pH,Độ mặn,TDS,Độ đục,DO,Độ màu,Độ trong,Độ kiềm,Độ cứng,Nitrat,Amoni,Nitrit,Oxy bão hòa,Phosphate (PO43-),Silica,Column1,Size Tôm,Con/Kg,Cường độ sáng,Canxi,Kali,Magie,Thế oxy hóa khử,Tỷ trọng,hoachat_aminox_aqua,hoachat_aqua_c,hoachat_biosol,hoachat_chế_phẩm_vi_sinh__em,hoachat_chế_phẩm_vi_sinh_em,hoachat_doromit,hoachat_genplus,hoachat_kali_belarus,hoachat_kali_canada,hoachat_magie_clorua,hoachat_magnesium_chloride,hoachat_mật_rỉ_đường,hoachat_natri_bicarbonate,hoachat_organic,hoachat_sago_hepasol,hoachat_sodium_bicarbonate,hoachat_toppodine,hoachat_toppond,hoachat_vemevit,hoachat_vi_sinh_hiếu_khí,hoachat_vitapro,hoachat_vôi_nóng,loai_ao,sheet,thucan_beo,thucan_lysine,thucan_protein_tho,thucan_xo_tho,Áp suất thành phần Oxy,Điện trở suất,Điện áp ngoài,Độ dẫn riêng,Độ dẫn thực,Time.1
0,9/26/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 2,"one period, exchange water",834,MPNT,16.0,28.0,8.0,110.0,28.06986618,7.883835793,18.49625206,19.13143539,56.0,6.542529106,231.0,42.0,166.0,5000.0,0.0,6.6,0.0,92.75292206,1.72,1.7,,,,7259.0,,,,129.1934204,1.010017276,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.96,0.288,6.4,0.64,142.1223907,32.09370422,17.23699951,29432.97461,31158.75977,9/26/2022 15:00
2,9/27/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,17.0,29.0,8.0,90.0,26.86767769,7.791320324,18.8345871,19.45604134,62.8,6.423987865,254.0,25.5,158.0,5000.0,0.0,5.8,0.023,89.38848877,1.11,2.35,,,,,,,,105.8522415,1.010634065,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.96,0.288,6.4,0.64,137.3289642,32.25791931,17.22800064,29932.37109,31000.13867,9/27/2022 15:00
4,9/28/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,18.0,30.0,14.0,100.0,27.60778236,7.915920258,18.79050064,19.41008568,69.6,6.155373573,277.0,16.0,167.0,4500.0,0.4,5.95,0.014,86.72280884,1.12,3.65,,,,8639.0,,,,113.5460052,1.010378242,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.6,0.18,4.0,0.4,133.0201111,31.89890671,17.20999908,29861.66797,31349.03711,9/28/2022 21:00
5,9/29/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,19.0,31.0,8.0,80.0,26.71219444,7.873723984,19.62114334,20.19329643,61.1,6.361048222,300.0,20.1,169.0,4000.0,0.0,5.15,0.007,88.66683197,1.25,2.6,,,,12441.0,,,,132.0949707,1.011268497,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.35,7.9,0.8,136.2651062,31.16956711,17.22800064,31066.60742,32082.57617,9/29/2022 15:00
6,9/29/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,19.0,31.0,14.0,80.0,27.25956154,7.797951698,19.21663094,19.81138802,68.7,6.335884571,330.0,22.1,164.0,4000.0,0.8,4.15,0.013,88.94818115,1.16,2.6,,,,15244.0,,,,127.6341629,1.010802031,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.9,0.2565,5.865,0.6,136.5375824,31.45201874,17.22800064,30479.05859,31794.46094,9/29/2022 21:00
7,9/30/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,20.0,32.0,8.0,110.0,26.78347206,7.818682671,19.82842827,20.38616943,101.9,6.313317299,343.0,17.0,167.0,3500.0,0.0,6.85,0.004,88.21221924,2.21,3.55,,,,3596.0,,,,109.60495,1.011402369,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.35,7.9,0.8,135.546051,30.83402443,17.22800064,31363.33594,32431.70508,9/30/2022 15:00
9,10/1/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,21.0,33.0,8.0,80.0,27.69581223,7.916038036,19.10224915,19.70168686,98.5,6.511183262,341.0,22.3,168.0,4000.0,0.0,5.45,0.0,92.03367615,1.64,2.9,,,,12559.0,,,,108.117218,1.010584235,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.34,7.8,0.8,141.1386566,31.37651825,17.21899986,30310.28711,31870.9668,10/1/2022 15:00
10,10/1/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,21.0,33.0,14.0,80.0,29.86930847,8.085926056,20.61855698,21.10336494,140.1,6.565568924,398.0,19.8,166.0,4000.0,0.0,4.9,0.019,97.06104279,1.75,2.55,,,,25744.0,,,,120.7414856,1.011030674,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.02,0.289,6.63,0.68,148.0890961,28.17993736,17.21899986,32466.71289,35486.23828,10/1/2022 21:00
14,10/3/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,23.0,35.0,14.0,110.0,29.87606621,7.79149437,21.41235161,21.83687973,61.9,5.763120174,284.0,16.0,170.0,4000.0,0.0,6.05,0.034,85.58071136,1.68,3.45,,,,26993.0,,,,124.2271576,1.011619687,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.34,7.8,0.8,130.5709839,27.23013687,17.20999908,33595.19922,36724.01563,10/3/2022 21:00
18,10/5/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,25.0,37.0,14.0,100.0,29.99507141,7.754687309,23.04466248,23.3340683,75.5,5.761098385,271.0,16.0,165.0,4500.0,1.6,8.35,0.017,86.4916687,1.9,3.25,,,292.4131796,26993.0,,,,138.4583588,1.01279676,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.34,7.8,0.8,131.9216003,25.43008614,17.22800064,35898.56641,39323.5,10/5/2022 21:00
