farm,pond,Date,day_age,Độ mặn,Độ kiềm,PH,Nhiệt độ,TDS,module,TAN,type3
,,,,,,,,,Khu_2,,Culture Pond
,,,,,,,,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A3,4/16/2024,-2,,,8.279008865,32.58911896,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A3,4/16/2024,-2,33,124,8.345266342,29.92003632,,Khu_2,,Culture Pond
,,,,,,,,,Khu_2,0.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2,,,8.251972198,33.2135849,,Khu_2,7.2,Culture Pond
,,,,,,,,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A5,4/16/2024,-2,,,8.243337631,32.13587952,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A5,4/16/2024,-2,33,125,8.261725426,29.94017792,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2,33,122,8.322341919,29.92003632,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/19/2024,1,,,8.419365883,29.43657684,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/19/2024,1,,,8.391683578,30.10133362,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2,,,8.251972198,33.2135849,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2,33,122,8.322341919,29.92003632,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2,,,8.251972198,33.2135849,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2,33,122,8.322341919,29.92003632,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2,,,8.251972198,33.2135849,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2,33,122,8.322341919,29.92003632,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/18/2024,0,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A5,4/22/2024,4,,,8.377476692,33.46538544,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A5,4/22/2024,4,,,8.394788742,30.38334656,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,4/28/2024,10,,,8.26184845,32.06537628,,Khu_2,0.4,Culture Pond
Farm_Mien_Nam,2A1,4/18/2024,0,,,,,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/18/2024,0,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.2,Culture Pond
,,,,,,,,,Khu_2,0.2,Culture Pond
Farm_Mien_Nam,2A5,4/28/2024,10,,,8.153259277,32.05530548,,Khu_2,0.5,Culture Pond
Farm_Mien_Nam,2A5,4/29/2024,11,,,8.207609177,29.15455627,,Khu_2,0.5,Culture Pond
Farm_Mien_Nam,2A5,4/29/2024,11,,,8.195833206,30.21212006,,Khu_2,0.5,Culture Pond
Farm_Mien_Nam,2A3,5/2/2024,14,,,8.2,31.4,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,5/1/2024,13,,,8.350096703,32.56897736,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.2,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.2,Culture Pond
Farm_Mien_Nam,2A5,4/23/2024,5,,,8.302799225,31.32004547,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,4/26/2024,8,,,8.162841797,31.48120117,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,4/27/2024,9,,,8.187177658,32.02508545,,Khu_2,0.5,Culture Pond
Farm_Mien_Nam,2A1,4/28/2024,10,,,8.225540161,31.93444061,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/28/2024,10,,,8.221475601,31.86393738,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/30/2024,12,,,8.351050377,31.68264008,,Khu_2,0.4,Culture Pond
Farm_Mien_Nam,2A5,4/30/2024,12,,,8.281375885,32.44811249,,Khu_2,0.5,Culture Pond
,,,,,,,,,Khu_2,,Culture Pond
,,,,,,,,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A5,5/2/2024,14,,,8.4,30.2,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.2,Culture Pond
,,,,,,,,,Khu_2,0.3,Culture Pond
,,,,,,,,,Khu_2,0.2,Culture Pond
,,,,,,,,,Khu_2,,Culture Pond
