farm,module_name,Date,Độ mặn,Độ kiềm,pH,Nhiệt độ,TDS,Tuổi tôm,Ngày thả,Season,Loại ao,Giống tôm,Công nghệ nuôi,Mực nước,Vụ nuôi,Time,Độ trong,ao,Độ cứng,Độ màu,area
MPLA,Pond A1N09,2022-05-01,29.913,179.0,8.124,28.539,29.512,12,3,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-01,29.89466095,170.0,8.119823456,28.19353676,29.49364281,12,3,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-02,29.965,170.0,8.1145,28.186,29.486,13,4,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-02,30.02392769,177.0,8.128949165,29.32320976,29.59531021,13,4,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-03,29.13124657,177.0,8.114339828,28.42548561,28.81649971,14,5,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-04,29.69657898,140.0,7.968221664,29.93050003,29.30136108,15,6,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-05,29.65878868,157.0,7.934848785,29.47309494,29.27206993,16,7,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-05,29.663265,159.0,7.931281,29.481263,29.281576,16,7,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-07,30.0551796,147.0,7.846418858,29.99310493,29.61669731,18,9,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-08,30.16771126,137.0,8.060041428,29.98685646,29.71575546,19,10,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-08,30.17824842,138.0,8.056255571,29.42946932,29.72168467,19,10,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-08,29.96226418,132.0,7.853263541,29.28426843,29.56005348,19,10,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-08,29.96004105,133.0,7.853294849,28.44654083,29.54832077,19,10,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
MPLA,Pond A1N09,2022-05-09,30.26242566,137.0,7.861651864,30.01842642,29.82182458,20,11,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,A15,4605,275,834
