farm,salinity_percentage,temperature_Iots,saturated_oxygen,oxygen_component_pressure,redox,external_voltage,module,pond,Tu?i tôm,Date,pH,?? ki?m,nitrit_kit,tan,type3
,,,,,,,Khu_2,2A2,-3,2024-04-15,8.1,122,,,Culture Pond
,,,,,,,Khu_2,2A1,-3,2024-04-15,7.9,133,,,Culture Pond
Farm_Mien_Nam,,32.58911896,95.43577576,144.5452423,140.349823,17.26399994,Khu_2,2A3,-2,2024-04-16,8.1,141,,,Culture Pond
Farm_Mien_Nam,33,29.92003632,99.61035156,151.9517517,167.6511383,17.25499916,Khu_2,2A3,-2,2024-04-16,8.1,141,,,Culture Pond
,,,,,,,Khu_2,2A3,-7,2024-04-11,8,109,,0.2,Culture Pond
Farm_Mien_Nam,,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2,2024-04-16,8.3,129,0.12,7.2,Culture Pond
,,,,,,,Khu_2,2A5,-6,2024-04-12,8,115,,,Culture Pond
Farm_Mien_Nam,,32.13587952,91.46229553,138.7054291,146.4128113,17.26399994,Khu_2,2A5,-2,2024-04-16,8.1,126,,,Culture Pond
Farm_Mien_Nam,33,29.94017792,93.95858765,143.3302155,188.1313019,17.25499916,Khu_2,2A5,-2,2024-04-16,8.1,126,,,Culture Pond
Farm_Mien_Nam,33,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2,2024-04-16,8.3,129,0.12,7.2,Culture Pond
Farm_Mien_Nam,,29.43657684,98.10900879,149.8475494,189.1469574,17.26399994,Khu_2,2A1,1,2024-04-19,8.4,134,0.04,0.3,Culture Pond
Farm_Mien_Nam,,30.10133362,96.89781952,147.7541046,187.9429474,17.25499916,Khu_2,2A1,1,2024-04-19,8.4,134,0.04,0.3,Culture Pond
Farm_Mien_Nam,,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2,2024-04-16,8.3,181,0.12,7.2,Culture Pond
Farm_Mien_Nam,33,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2,2024-04-16,8.3,181,0.12,7.2,Culture Pond
Farm_Mien_Nam,,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2,2024-04-16,7.4,129,0.12,7.2,Culture Pond
Farm_Mien_Nam,33,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2,2024-04-16,7.4,129,0.12,7.2,Culture Pond
Farm_Mien_Nam,,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2,2024-04-16,7.4,181,0.12,7.2,Culture Pond
Farm_Mien_Nam,33,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2,2024-04-16,7.4,181,0.12,7.2,Culture Pond
Farm_Mien_Nam,,,,,,,Khu_2,2A1,0,2024-04-18,8.3,128,0.11,0.3,Culture Pond
,,,,,,,Khu_2,2A3,-6,2024-04-12,8,105,,,Culture Pond
Farm_Mien_Nam,,33.46538544,96.02155304,145.0673218,131.0681915,17.25499916,Khu_2,2A5,4,2024-04-22,8,122,0.02,0.3,Culture Pond
Farm_Mien_Nam,,30.38334656,94.80900574,144.4655304,53.71567154,17.25499916,Khu_2,2A5,4,2024-04-22,8,122,0.02,0.3,Culture Pond
,,,,,,,Khu_2,2A1,6,2024-04-24,8.1,124,0.04,0.3,Culture Pond
Farm_Mien_Nam,,32.06537628,101.4155807,153.8389282,127.5705872,17.24600029,Khu_2,2A3,10,2024-04-28,8.1,127,0.06,0.4,Culture Pond
Farm_Mien_Nam,,,,,,,Khu_2,2A1,0,2024-04-18,8.3,128,0.11,0.3,Culture Pond
Farm_Mien_Nam,,,,,,,Khu_2,2A1,0,2024-04-18,8.3,128,0.11,0.3,Culture Pond
,,,,,,,Khu_2,2A3,0,2024-04-18,8.2,124,,0.3,Culture Pond
,,,,,,,Khu_2,2A5,2,2024-04-20,8.1,128,0.04,0.3,Culture Pond
,,,,,,,Khu_2,2A5,2,2024-04-20,8.5,122,0.03,0.3,Culture Pond
,,,,,,,Khu_2,2A3,7,2024-04-25,8.1,81,,0.2,Culture Pond
,,,,,,,Khu_2,2A3,7,2024-04-25,8.1,122,,0.2,Culture Pond
Farm_Mien_Nam,,32.05530548,97.45893097,147.8411713,117.4211121,17.24600029,Khu_2,2A5,10,2024-04-28,8,122,0.05,0.5,Culture Pond
Farm_Mien_Nam,,29.15455627,101.9117203,155.773056,180.8356781,17.26399994,Khu_2,2A5,11,2024-04-29,8,127,0.04,0.5,Culture Pond
Farm_Mien_Nam,,30.21212006,100.848259,153.7388,160.760849,17.29100037,Khu_2,2A5,11,2024-04-29,8,127,0.04,0.5,Culture Pond
Farm_Mien_Nam,,31.4,,,,,Khu_2,2A3,14,2024-05-02,8.1,117,0.01,0.3,Culture Pond
,,,,,,,Khu_2,2A5,-7,2024-04-11,8,117,0.06,0.3,Culture Pond
Farm_Mien_Nam,,32.56897736,99.52612305,150.757843,174.7727051,17.28199959,Khu_2,2A1,13,2024-05-01,8.1,121,0.05,0.3,Culture Pond
,,,,,,,Khu_2,2A5,-5,2024-04-13,7.4,126,0.01,0.3,Culture Pond
,,,,,,,Khu_2,2A5,-5,2024-04-13,7.4,111,0.01,0.3,Culture Pond
,,,,,,,Khu_2,2A1,-5,2024-04-13,7.5,128,0.03,0.3,Culture Pond
,,,,,,,Khu_2,2A3,-5,2024-04-13,7.4,129,,0.2,Culture Pond
,,,,,,,Khu_2,2A1,-5,2024-04-13,7.5,119,0.03,0.3,Culture Pond
,,,,,,,Khu_2,2A3,-5,2024-04-13,7.4,116,,0.2,Culture Pond
Farm_Mien_Nam,,31.32004547,96.91951752,147.3191986,128.2739258,17.25499916,Khu_2,2A5,5,2024-04-23,8.2,120,,0.3,Culture Pond
Farm_Mien_Nam,,31.48120117,95.99248505,145.8506622,144.0858459,17.28199959,Khu_2,2A3,8,2024-04-26,8.1,125,0.02,0.3,Culture Pond
Farm_Mien_Nam,,32.02508545,97.34056854,147.6740723,141.1676025,17.26399994,Khu_2,2A3,9,2024-04-27,8.1,126,0.02,0.5,Culture Pond
Farm_Mien_Nam,,31.93444061,97.68795776,148.2342682,203.9503632,17.26399994,Khu_2,2A1,10,2024-04-28,8.1,118,0.07,0.3,Culture Pond
Farm_Mien_Nam,,31.86393738,98.39796448,149.3408508,181.1098633,17.29100037,Khu_2,2A1,10,2024-04-28,8.1,118,0.07,0.3,Culture Pond
Farm_Mien_Nam,,31.68264008,106.4819031,161.6950989,145.3208466,17.25499916,Khu_2,2A1,12,2024-04-30,8.3,131,0.03,0.4,Culture Pond
Farm_Mien_Nam,,32.44811249,103.4497604,156.7553101,276.8850098,17.26399994,Khu_2,2A5,12,2024-04-30,7.8,120,0.05,0.5,Culture Pond
,,,,,,,Khu_2,2A2,-3,2024-04-15,7.9,122,,,Culture Pond
,,,,,,,Khu_2,2A3,-5,2024-04-13,8.1,121,,,Culture Pond
Farm_Mien_Nam,,30.2,,,,,Khu_2,2A5,14,2024-05-02,8.2,129,0.06,0.3,Culture Pond
,,,,,,,Khu_2,2A1,-5,2024-04-13,8,128,0.03,0.3,Culture Pond
,,,,,,,Khu_2,2A3,-5,2024-04-13,8.1,129,,0.2,Culture Pond
,,,,,,,Khu_2,2A1,-5,2024-04-13,8,119,0.03,0.3,Culture Pond
,,,,,,,Khu_2,2A3,-5,2024-04-13,8.1,116,,0.2,Culture Pond
,,,,,,,Khu_2,2A1,-5,2024-04-13,8.1,126,,,Culture Pond
,,,,,,,Khu_2,2A1,-4,2024-04-14,8.1,121,,,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,125,0.03,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,125,0.01,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,125,0.03,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,125,0.01,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,127,0.03,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,127,0.01,0.3,Culture Pond
Farm_Mien_Nam,,32.8,,,,,Khu_2,2A5,15,2024-05-03,8,127,0.03,0.3,Culture Pond
