farm,Độ mặn,Nhiệt độ,saturated_oxygen,oxygen_component_pressure,redox,external_voltage,module,module_name,Tuổi tôm,Date,pH,Độ kiềm,nitrit_kit,tan,type3,Season,Loại ao,Giống tôm,Công nghệ nuôi,Mực nước,Vụ nuôi,Time,ao,Độ cứng,Độ màu,area,Ngày thả,Tuổi tôm.1,Độ trong,TDS
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A2,-3.0,2024-04-15,8.1,122.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A2,4605,275,834,17,31,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,-3.0,2024-04-15,7.9,133.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A1,4605,275,834,20,34,22.5,0
Farm_Mien_Nam,34.4486351,32.58911896,95.43577576,144.5452423,140.349823,17.26399994,Khu_2,2A3,-2.0,2024-04-16,8.1,141.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A3,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,33.0,29.92003632,99.61035156,151.9517517,167.6511383,17.25499916,Khu_2,2A3,-2.0,2024-04-16,8.1,141.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A3,4605,275,834,21,35,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,-7.0,2024-04-11,8.0,109.0,0.04,0.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,16,30,22.5,0
Farm_Mien_Nam,34.4486351,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2.0,2024-04-16,8.3,129.0,0.12,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A1,4605,275,834,21,35,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,-6.0,2024-04-12,8.0,115.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,17,31,22.5,0
Farm_Mien_Nam,34.4486351,32.13587952,91.46229553,138.7054291,146.4128113,17.26399994,Khu_2,2A5,-2.0,2024-04-16,8.1,126.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,33.0,29.94017792,93.95858765,143.3302155,188.1313019,17.25499916,Khu_2,2A5,-2.0,2024-04-16,8.1,126.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,33.0,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2.0,2024-04-16,8.3,129.0,0.12,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A1,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,34.4486351,29.43657684,98.10900879,149.8475494,189.1469574,17.26399994,Khu_2,2A1,1.0,2024-04-19,8.4,134.0,0.04,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,24,38,22.5,0
Farm_Mien_Nam,34.4486351,30.10133362,96.89781952,147.7541046,187.9429474,17.25499916,Khu_2,2A1,1.0,2024-04-19,8.4,134.0,0.04,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,24,38,22.5,0
Farm_Mien_Nam,34.4486351,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2.0,2024-04-16,8.3,181.0,0.12,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,33.0,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2.0,2024-04-16,8.3,181.0,0.12,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,34.4486351,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2.0,2024-04-16,7.4,129.0,0.12,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A1,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,33.0,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2.0,2024-04-16,7.4,129.0,0.12,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A1,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,34.4486351,33.2135849,94.98466492,143.6043243,125.1554108,17.28199959,Khu_2,2A1,-2.0,2024-04-16,7.4,181.0,0.12,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A1,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,33.0,29.92003632,100.1347809,152.7594604,176.5298462,17.28199959,Khu_2,2A1,-2.0,2024-04-16,7.4,181.0,0.12,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A1,4605,275,834,21,35,22.5,0
Farm_Mien_Nam,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,0.0,2024-04-18,8.3,128.0,0.11,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,23,37,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,-6.0,2024-04-12,8.0,105.0,0.04,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,17,31,22.5,0
Farm_Mien_Nam,34.4486351,33.46538544,96.02155304,145.0673218,131.0681915,17.25499916,Khu_2,2A5,4.0,2024-04-22,8.0,122.0,0.02,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,27,41,22.5,0
Farm_Mien_Nam,34.4486351,30.38334656,94.80900574,144.4655304,53.71567154,17.25499916,Khu_2,2A5,4.0,2024-04-22,8.0,122.0,0.02,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,27,41,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,6.0,2024-04-24,8.1,124.0,0.04,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A1,4605,275,834,29,43,22.5,0
Farm_Mien_Nam,34.4486351,32.06537628,101.4155807,153.8389282,127.5705872,17.24600029,Khu_2,2A3,10.0,2024-04-28,8.1,127.0,0.06,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A3,4605,275,834,33,47,22.5,0
Farm_Mien_Nam,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,0.0,2024-04-18,8.3,128.0,0.11,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A1,4605,275,834,23,37,22.5,0
Farm_Mien_Nam,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A1,0.0,2024-04-18,8.3,128.0,0.11,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A1,4605,275,834,23,37,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,0.0,2024-04-18,8.2,124.0,0.04,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A3,4605,275,834,23,37,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,2.0,2024-04-20,8.1,128.0,0.04,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,25,39,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,2.0,2024-04-20,8.5,122.0,0.03,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,25,39,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,7.0,2024-04-25,8.1,81.0,0.04,0.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A3,4605,275,834,30,44,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,7.0,2024-04-25,8.1,122.0,0.04,0.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A3,4605,275,834,30,44,22.5,0
Farm_Mien_Nam,34.4486351,32.05530548,97.45893097,147.8411713,117.4211121,17.24600029,Khu_2,2A5,10.0,2024-04-28,8.0,122.0,0.05,0.5,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,33,47,22.5,0
Farm_Mien_Nam,34.4486351,29.15455627,101.9117203,155.773056,180.8356781,17.26399994,Khu_2,2A5,11.0,2024-04-29,8.0,127.0,0.04,0.5,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,34,48,22.5,0
Farm_Mien_Nam,34.4486351,30.21212006,100.848259,153.7388,160.760849,17.29100037,Khu_2,2A5,11.0,2024-04-29,8.0,127.0,0.04,0.5,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,34,48,22.5,0
Farm_Mien_Nam,34.4486351,31.4,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A3,14.0,2024-05-02,8.1,117.0,0.01,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A3,4605,275,834,37,51,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,-7.0,2024-04-11,8.0,117.0,0.06,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,2A5,4605,275,834,16,30,22.5,0
Farm_Mien_Nam,34.4486351,32.56897736,99.52612305,150.757843,174.7727051,17.28199959,Khu_2,2A1,13.0,2024-05-01,8.1,121.0,0.05,0.3,Culture Pond,Rainy,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A1,4605,275,834,36,50,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,-5.0,2024-04-13,7.4,126.0,0.01,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,2A5,4605,275,834,18,32,22.5,0
Unknown,34.4486351,31.05448532,94.98466492,143.87117,-24.79482269,17.18300056,Khu_2,2A5,-5.0,2024-04-13,7.4,111.0,0.01,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,2A5,4605,275,834,18,32,22.5,0
