farm,pond,Date,day_age,Độ mặn,Độ kiềm,PH,Nhiệt độ,TDS,module,TAN,type3
Farm_Mien_Nam,2A3,4/16/2024,-2.0,,,8.279008865,32.58911896,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A3,4/16/2024,-2.0,33.0,124.0,8.345266342,29.92003632,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,,,8.251972198,33.2135849,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.0,122.0,8.322341919,29.92003632,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/19/2024,1.0,,,8.419365883,29.43657684,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/19/2024,1.0,,,8.391683578,30.10133362,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,,,8.251972198,33.2135849,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.0,122.0,8.322341919,29.92003632,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,,,8.251972198,33.2135849,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.0,122.0,8.322341919,29.92003632,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,,,8.251972198,33.2135849,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.0,122.0,8.322341919,29.92003632,,Khu_2,7.2,Culture Pond
Farm_Mien_Nam,2A1,4/18/2024,0.0,,,,,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,4/28/2024,10.0,,,8.26184845,32.06537628,,Khu_2,0.4,Culture Pond
Farm_Mien_Nam,2A1,4/18/2024,0.0,,,,,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/18/2024,0.0,,,,,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/2/2024,14.0,,,8.2,31.4,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,5/1/2024,13.0,,,8.350096703,32.56897736,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,4/26/2024,8.0,,,8.162841797,31.48120117,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,4/27/2024,9.0,,,8.187177658,32.02508545,,Khu_2,0.5,Culture Pond
Farm_Mien_Nam,2A1,4/28/2024,10.0,,,8.225540161,31.93444061,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/28/2024,10.0,,,8.221475601,31.86393738,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/30/2024,12.0,,,8.351050377,31.68264008,,Khu_2,0.4,Culture Pond
Farm_Mien_Nam,2A3,5/3/2024,15.0,,,8.24,34.0,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/3/2024,15.0,,,8.24,34.0,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/3/2024,15.0,,,8.24,34.0,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/3/2024,15.0,,,8.24,34.0,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/3/2024,15.0,,,8.24,34.0,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/3/2024,15.0,,,8.24,34.0,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/3/2024,15.0,,,8.24,34.0,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/3/2024,15.0,,,8.24,34.0,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/19/2024,1.0,,,8.419365883,29.43657684,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/19/2024,1.0,,,8.391683578,30.10133362,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A3,5/9/2024,21.0,,,8.0,31.3,,Khu_2,0.5,Culture Pond
Farm_Mien_Nam,2A3,5/28/2024,40.0,29.94182396,,7.828851223,30.9573555,29.50957489,Khu_2,0.4,Culture Pond
Farm_Mien_Nam,2A1,5/5/2024,17.0,,,8.3,33.3,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,5/5/2024,17.0,,,8.3,33.3,,Khu_2,0.3,Culture Pond
Farm_Mien_Nam,2A1,4/16/2024,-2.0,,,8.251972198,33.2135849,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A3,4/16/2024,-2.0,,,8.279008865,32.58911896,,Khu_2,,Culture Pond
Farm_Mien_Nam,2A3,4/16/2024,-2.0,33.0,124.0,8.345266342,29.92003632,,Khu_2,,Culture Pond
