Amoni,Canxi,Con/Kg,Cường độ sáng,DO,Date,Kali,Magie,Mực nước,Nhiệt độ,Nitrat,Nitrit,Oxy bão hòa,Phosphate (PO43-),Silica,Size Tôm,TDS,Thế oxy hóa khử,Time,Tỷ trọng,Vụ nuôi,age,ao,area,hoachat_aminox_aqua,hoachat_aqua_c,hoachat_biosol,hoachat_chế_phẩm_vi_sinh__em,hoachat_chế_phẩm_vi_sinh_em,hoachat_doromit,hoachat_genplus,hoachat_kali_belarus,hoachat_kali_canada,hoachat_magie_clorua,hoachat_magnesium_chloride,hoachat_mật_rỉ_đường,hoachat_natri_bicarbonate,hoachat_organic,hoachat_sago_hepasol,hoachat_sodium_bicarbonate,hoachat_toppodine,hoachat_toppond,hoachat_vemevit,hoachat_vi_sinh_hiếu_khí,hoachat_vitapro,hoachat_vôi_nóng,loai_ao,module_name,pH,pond_days,sheet,thucan_beo,thucan_lysine,thucan_protein_tho,thucan_xo_tho,Áp suất thành phần Oxy,Điện trở suất,Điện áp ngoài,Độ cứng,Độ dẫn riêng,Độ dẫn thực,Độ kiềm,Độ màu,Độ mặn,Độ trong,Độ đục,Timestamp
6.6,,,7259,6.542529106,2022-09-26T00:00:00+00:00,,,110,28.06986618,0,0,92.75292206,1.72,1.7,,19.13143539,129.1934204,8,1.010017276,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.883835793,,A14N18,0.96,0.288,6.4,0.64,142.1223907,32.09370422,17.23699951,5000,29432.97461,31158.75977,166,231,18.49625206,42,56,2022-09-26T08:00:00+00:00
5,,,4399,5.830347061,2022-09-26T00:00:00+00:00,,,110,28.98202705,1.4,0.039,83.98338318,1.51,2.3,,19.21776199,107.1969223,14,1.009805083,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.92744875,,A14N18,0.6,0.18,4,0.4,128.4129944,31.43224335,17.21899986,4500,29565.78711,31814.46484,171,239,18.59241867,41,44,2022-09-26T14:00:00+00:00
5.8,,,,6.423987865,2022-09-27T00:00:00+00:00,,,90,26.86767769,0,0.023,89.38848877,1.11,2.35,,19.45604134,105.8522415,8,1.010634065,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.791320324,,A14N18,0.96,0.288,6.4,0.64,137.3289642,32.25791931,17.22800064,5000,29932.37109,31000.13867,158,254,18.8345871,25.5,62.8,2022-09-27T08:00:00+00:00
5.6,,,7996,6.212468147,2022-09-28T00:00:00+00:00,,,100,26.79104805,0,0.007,86.34883118,1,1.85,,19.49091339,113.2003021,8,1.010684252,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.826212406,,A14N18,0.84,0.252,5.6,0.56,132.6806641,32.24577713,17.21899986,3500,29986.01953,31011.8125,177,258,18.87120247,16,65.3,2022-09-28T08:00:00+00:00
5.95,,,8639,6.155373573,2022-09-28T00:00:00+00:00,,,100,27.60778236,0.4,0.014,86.72280884,1.12,3.65,,19.41008568,113.5460052,14,1.010378242,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.915920258,,A14N18,0.6,0.18,4,0.4,133.0201111,31.89890671,17.20999908,4500,29861.66797,31349.03711,167,277,18.79050064,16,69.6,2022-09-28T14:00:00+00:00
5.15,,,12441,6.361048222,2022-09-29T00:00:00+00:00,,,80,26.71219444,0,0.007,88.66683197,1.25,2.6,,20.19329643,132.0949707,8,1.011268497,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.873723984,,A14N18,1.2,0.35,7.9,0.8,136.2651062,31.16956711,17.22800064,4000,31066.60742,32082.57617,169,300,19.62114334,20.1,61.1,2022-09-29T08:00:00+00:00
4.15,,,15244,6.335884571,2022-09-29T00:00:00+00:00,,,80,27.25956154,0.8,0.013,88.94818115,1.16,2.6,,19.81138802,127.6341629,14,1.010802031,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.797951698,,A14N18,0.9,0.2565,5.865,0.6,136.5375824,31.45201874,17.22800064,4000,30479.05859,31794.46094,164,330,19.21663094,22.1,68.7,2022-09-29T14:00:00+00:00
6.85,,,3596,6.313317299,2022-09-30T00:00:00+00:00,,,110,26.78347206,0,0.004,88.21221924,2.21,3.55,,20.38616943,109.60495,8,1.011402369,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.818682671,,A14N18,1.2,0.35,7.9,0.8,135.546051,30.83402443,17.22800064,3500,31363.33594,32431.70508,167,343,19.82842827,17,101.9,2022-09-30T08:00:00+00:00
5.6,,,7134,6.239279747,2022-09-30T00:00:00+00:00,,,110,28.28382874,0.9,0.02,89.49235535,1.67,2.5,,20.48349953,127.0166626,14,1.011030912,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.938829899,,A14N18,0,0,0,0,137.0595093,29.86000824,17.22800064,4000,31513.07422,33489.60938,172,391,19.94329262,13,115.5,2022-09-30T14:00:00+00:00
5.45,,,12559,6.511183262,2022-10-01T00:00:00+00:00,,,80,27.69581223,0,0,92.03367615,1.64,2.9,,19.70168686,108.117218,8,1.010584235,Vụ 2-2022,,A14N18,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A14,7.916038036,,A14N18,1.2,0.34,7.8,0.8,141.1386566,31.37651825,17.21899986,4000,30310.28711,31870.9668,168,341,19.10224915,22.3,98.5,2022-10-01T08:00:00+00:00
