,Date,Season,Vụ nuôi,module_name,ao,Loại ao,Giai đoạn,Công nghệ nuôi,area,Giống tôm,Ngày thả,Tuổi tôm,Time,Mực nước,Nhiệt độ,pH,Độ mặn,TDS,Độ đục,DO,Độ màu,Độ trong,Độ kiềm,Độ cứng,Nitrat,Amoni,Nitrit,Oxy bão hòa,Phosphate (PO43-),Silica,Column1,Size Tôm,Con/Kg,Cường độ sáng,Canxi,Kali,Magie,Thế oxy hóa khử,Tỷ trọng,hoachat_aminox_aqua,hoachat_aqua_c,hoachat_biosol,hoachat_chế_phẩm_vi_sinh__em,hoachat_chế_phẩm_vi_sinh_em,hoachat_doromit,hoachat_genplus,hoachat_kali_belarus,hoachat_kali_canada,hoachat_magie_clorua,hoachat_magnesium_chloride,hoachat_mật_rỉ_đường,hoachat_natri_bicarbonate,hoachat_organic,hoachat_sago_hepasol,hoachat_sodium_bicarbonate,hoachat_toppodine,hoachat_toppond,hoachat_vemevit,hoachat_vi_sinh_hiếu_khí,hoachat_vitapro,hoachat_vôi_nóng,loai_ao,sheet,thucan_beo,thucan_lysine,thucan_protein_tho,thucan_xo_tho,Áp suất thành phần Oxy,Điện trở suất,Điện áp ngoài,Độ dẫn riêng,Độ dẫn thực,Time.1
0,9/26/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 2,"one period, exchange water",834,MPNT,16.0,28.0,8.0,110.0,28.06986618,7.883835793,18.49625206,19.13143539,56.0,6.542529106,231.0,42.0,166.0,5000.0,0.0,6.6,0.0,92.75292206,1.72,1.7,,,,7259.0,,,,129.1934204,1.010017276,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.96,0.288,6.4,0.64,142.1223907,32.09370422,17.23699951,29432.97461,31158.75977,9/26/2022 15:00
1,9/26/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 2,"one period, exchange water",834,MPNT,16.0,28.0,14.0,110.0,28.98202705,7.92744875,18.59241867,19.21776199,44.0,5.830347061,239.0,41.0,171.0,4500.0,1.4,5.0,0.039,83.98338318,1.51,2.3,,,,4399.0,,,,107.1969223,1.009805083,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.6,0.18,4.0,0.4,128.4129944,31.43224335,17.21899986,29565.78711,31814.46484,9/26/2022 21:00
3,9/28/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,18.0,30.0,8.0,100.0,26.79104805,7.826212406,18.87120247,19.49091339,65.3,6.212468147,258.0,16.0,177.0,3500.0,0.0,5.6,0.007,86.34883118,1.0,1.85,,,,7996.0,,,,113.2003021,1.010684252,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.84,0.252,5.6,0.56,132.6806641,32.24577713,17.21899986,29986.01953,31011.8125,9/28/2022 15:00
8,9/30/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,20.0,32.0,14.0,110.0,28.28382874,7.938829899,19.94329262,20.48349953,115.5,6.239279747,391.0,13.0,172.0,4000.0,0.9,5.6,0.02,89.49235535,1.67,2.5,,,,7134.0,,,,127.0166626,1.011030912,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,0.0,0.0,0.0,0.0,137.0595093,29.86000824,17.22800064,31513.07422,33489.60938,9/30/2022 21:00
10,10/1/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,21.0,33.0,14.0,80.0,29.86930847,8.085926056,20.61855698,21.10336494,140.1,6.565568924,398.0,19.8,166.0,4000.0,0.0,4.9,0.019,97.06104279,1.75,2.55,,,,25744.0,,,,120.7414856,1.011030674,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.02,0.289,6.63,0.68,148.0890961,28.17993736,17.21899986,32466.71289,35486.23828,10/1/2022 21:00
11,10/2/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,22.0,34.0,8.0,110.0,27.64367104,7.767691612,20.69047928,21.18150902,96.8,6.133030891,365.0,14.0,186.0,4000.0,0.0,6.75,0.0,87.38339233,2.1,2.9,,,,3256.0,,,,112.7663803,1.011786461,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.5,0.425,9.75,1.0,134.0226898,29.2121067,17.21899986,32586.93555,34232.38281,10/2/2022 15:00
12,10/2/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,22.0,34.0,14.0,110.0,29.62928391,7.866154194,20.91016197,21.37418556,107.8,5.870049477,402.0,15.0,178.0,4000.0,1.9,5.75,0.03,86.57376099,1.48,2.65,,,,26993.0,,,,113.8750305,1.011325479,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.34,7.8,0.8,132.1667786,27.94007683,17.21899986,32883.35938,35790.88281,10/2/2022 21:00
13,10/3/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,23.0,35.0,8.0,110.0,27.73107719,7.762196064,20.76998329,21.25460434,115.5,6.00861311,394.0,15.0,179.0,4000.0,0.0,9.5,0.0,85.77587891,1.32,3.25,,,,6834.0,,,,104.4050446,1.011819124,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.5,0.425,9.75,1.0,131.5316772,29.06545067,17.22800064,32699.39063,34405.10938,10/3/2022 15:00
14,10/3/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,23.0,35.0,14.0,110.0,29.87606621,7.79149437,21.41235161,21.83687973,61.9,5.763120174,284.0,16.0,170.0,4000.0,0.0,6.05,0.034,85.58071136,1.68,3.45,,,,26993.0,,,,124.2271576,1.011619687,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.2,0.34,7.8,0.8,130.5709839,27.23013687,17.20999908,33595.19922,36724.01563,10/3/2022 21:00
15,10/4/2022 7:00,Rainy,Vụ 2-2022,A14,A14N18,Circle,Nuôi 1,"one period, exchange water",834,MPNT,24.0,36.0,8.0,110.0,27.61276817,7.786937714,21.8439827,22.24751282,78.9,5.986084938,343.0,16.0,183.0,4000.0,0.0,9.85,0.01,85.79615021,2.19,3.75,,,,2389.0,,,,89.25592041,1.012658119,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,,A14N18,1.5,0.425,9.75,1.0,131.59729,27.828022,17.21899986,34226.94141,35935.0,10/4/2022 15:00
