Date,Vụ nuôi,module_name,ao,Loại ao,Công nghệ nuôi,area,Giống tôm,Tuổi tôm,Time,Mực nước,Thay nước (cm),Nhiệt độ,pH,Độ mặn,TDS,Độ đục,DO,Độ màu,Độ trong,Độ kiềm,Độ cứng,Amoni,Nitrat,Nitrit,Phosphate (PO43-),Silica,Season,Ngày thả
27/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,84.0,8.0,80.0,0.0,27.39271164,7.542784214,25.58110428,25.65535355,138.3,5.944577217,594.0,21.1,145.0,5000.0,5.8,29.1,3.42,1.08,3.05,Rainy,73.0
27/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,84.0,11.5,80.0,0.0,27.33663177,7.598080158,25.27911186,25.38326263,147.8,5.955771446,574.0,17.4,148.0,4500.0,8.6,22.4,3.54,1.34,2.25,Rainy,73.0
26/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,83.0,8.0,100.0,0.0,27.74678802,7.591591835,21.17930412,21.63331032,113.8,5.896505356,499.0,19.0,147.0,4500.0,9.45,14.1,2.76,3.34,3.4,Rainy,72.0
26/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,83.0,11.5,100.0,0.0,28.89763641,7.519949913,25.7817688,25.82242584,139.3,5.848556519,500.0,20.0,144.0,4500.0,9.3,12.5,2.46,2.8,4.0,Rainy,72.0
26/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,83.0,14.0,100.0,0.0,29.81377983,7.662812233,25.77454948,25.80941582,160.5,5.791039467,594.0,20.0,151.0,4500.0,6.3,19.9,2.66,3.38,3.55,Rainy,72.0
26/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,83.0,17.0,80.0,0.0,30.31859589,7.585891724,25.49722862,25.55677605,175.0,5.314580441,548.0,20.0,155.0,4000.0,6.35,4.2,1.23,1.87,3.35,Rainy,72.0
25/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,82.0,8.0,80.0,0.0,29.07063484,7.626654148,25.91329575,25.93943787,139.3,5.856471062,536.0,17.7,157.0,4500.0,7.4,13.0,2.1,1.32,2.65,Rainy,71.0
25/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,82.0,11.5,80.0,0.0,29.86046219,7.741268158,26.2372303,26.22488594,149.3,5.788319111,530.0,18.2,158.0,4500.0,7.1,11.2,1.82,2.6,3.4,Rainy,71.0
25/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,82.0,14.0,100.0,0.0,30.40102959,7.698884487,26.48888397,26.44721031,169.0,5.66011095,570.0,19.0,154.0,5000.0,5.5,14.7,1.88,2.02,1.9,Rainy,71.0
25/9/2022,Vụ 2-2022,B11,D4N4,Circle,"two period, grow, exchange water",834.0,Vietuc,82.0,17.0,90.0,0.0,30.15919113,7.709805489,26.59689903,26.54543686,152.9,5.163815498,558.0,19.0,156.0,5000.0,6.95,16.9,2.32,2.56,2.65,Rainy,71.0
