,Date,Season,Vụ nuôi,module_name,ao,Ngày thả,Time,Nhiệt độ,pH,Độ mặn,TDS,Độ đục,DO,Độ màu,Độ trong,Độ kiềm,Độ cứng,Amoni,Nitrat,Nitrit,Phosphate (PO43-),Silica,Canxi,Kali,Magie,Loại ao,Công nghệ nuôi,area,Giống tôm,Tuổi tôm,Con/Kg,Mực nước,Thay nước (cm),WQI,unit,size
0,2022-06-21,Rainy,Vụ 1-2022,A1,D3N6,69,8,29.53,7.33,21.53,21.77,39.48,4.54,273.0,19.0,130.0,3500.0,16.0,4.4,0.73,7.6,1.84,488.5,370.5,788.0,Rectangle,Nuôi 1,1785.0,Vietuc,78.0,55.0,75.0,0.0,0.64,Vụ 1-2022-A1-D3N6,55.639862557048865
1,2022-06-20,Rainy,Vụ 1-2022,A1,D3N6,68,8,29.65,7.4,21.34,21.77,38.12,5.02,435.0,19.0,119.0,3500.0,9.15,0.0,0.6,2.7,1.84,328.5,285.5,1017.25,Rectangle,Nuôi 1,1785.0,Vietuc,79.0,,60.0,0.0,0.64,Vụ 1-2022-A1-D3N6,54.60249656990547
2,2022-06-19,Rainy,Vụ 1-2022,A1,D3N6,67,8,29.51,7.44,21.18,21.63,37.85,5.16,440.0,19.0,118.0,4000.0,8.36,0.0,0.51,5.1,2.28,508.75,371.5,901.0,Rectangle,Nuôi 1,1785.0,Vietuc,76.0,,61.0,0.0,0.66,Vụ 1-2022-A1-D3N6,58.045904736894215
3,2022-06-18,Rainy,Vụ 1-2022,A1,D3N6,66,8,30.51,7.5,21.54,21.95,29.13,5.21,468.0,19.0,115.0,4000.0,7.36,0.0,0.3,1.2,2.96,454.5,353.5,690.0,Rectangle,Nuôi 1,1785.0,Vietuc,77.0,,61.0,10.0,0.65,Vụ 1-2022-A1-D3N6,56.784001973966156
4,2022-06-17,Rainy,Vụ 1-2022,A1,D3N6,65,8,30.18,7.51,21.55,21.96,25.62,5.07,438.0,20.0,112.0,3500.0,8.8,1.0,0.45,8.4,9.1,458.75,329.75,806.0,Rectangle,Nuôi 1,1785.0,Vietuc,74.0,,60.0,0.0,0.63,Vụ 1-2022-A1-D3N6,60.972732213500706
5,2022-06-16,Rainy,Vụ 1-2022,A1,D3N6,64,8,30.16,7.55,21.68,22.08,29.04,5.44,393.0,17.0,119.0,4000.0,11.8,0.5,0.48,2.2,7.9,359.5,287.0,1023.5,Rectangle,Nuôi 1,1785.0,Vietuc,73.0,,61.0,0.0,0.64,Vụ 1-2022-A1-D3N6,62.665770274496836
6,2022-06-15,Rainy,Vụ 1-2022,A1,D3N6,63,8,29.77,7.6,21.95,22.33,37.95,5.18,584.0,18.0,140.0,3500.0,11.4,0.9,0.55,3.7,5.2,352.75,284.75,923.5,Rectangle,Nuôi 1,1785.0,Vietuc,72.0,,60.0,0.0,0.63,Vụ 1-2022-A1-D3N6,64.53306841607272
7,2022-06-14,Rainy,Vụ 1-2022,A1,D3N6,62,8,29.71,7.55,21.86,22.25,29.52,5.21,386.0,21.0,145.0,4500.0,11.8,0.0,0.55,1.9,7.0,241.5,222.75,745.5,Rectangle,Nuôi 1,1785.0,Vietuc,71.0,74.02,71.0,0.0,0.64,Vụ 1-2022-A1-D3N6,66.59256278295142
8,2022-06-13,Rainy,Vụ 1-2022,A1,D3N6,61,8,28.87,7.53,22.04,22.42,38.62,4.81,448.0,21.0,174.0,4000.0,18.8,3.4,0.41,2.0,5.28,245.5,226.25,745.0,Rectangle,Nuôi 1,1785.0,Vietuc,70.0,,73.0,0.0,0.63,Vụ 1-2022-A1-D3N6,68.86403564139141
9,2022-06-12,Rainy,Vụ 1-2022,A1,D3N6,60,8,29.14,7.51,22.13,22.5,63.71,4.56,493.0,21.0,185.0,4000.0,13.7,3.6,0.4,0.56,2.36,241.5,220.25,742.0,Rectangle,Nuôi 1,1785.0,Vietuc,69.0,,71.0,0.0,0.64,Vụ 1-2022-A1-D3N6,71.369305395758
